,loss,params,iteration,estimators,time
17,0.23911956766853848,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 114, 'learning_rate': 0.011307840449539407, 'subsample_for_bin': 260000, 'min_child_samples': 280, 'reg_alpha': 0.14285714285714285, 'reg_lambda': 0.3877551020408163, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.5656565656565656}",419,97,1.3504973330000212
18,0.23913299217256934,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 43, 'learning_rate': 0.07325436052214492, 'subsample_for_bin': 80000, 'min_child_samples': 275, 'reg_alpha': 0.04081632653061224, 'reg_lambda': 0.6938775510204082, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.6616161616161617}",263,81,2.742125541000064
19,0.2391732972229178,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 43, 'learning_rate': 0.0271298853416841, 'subsample_for_bin': 60000, 'min_child_samples': 230, 'reg_alpha': 0.4693877551020408, 'reg_lambda': 0.32653061224489793, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.9040404040404041}",282,100,2.515126334999991
20,0.2392518668685264,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 134, 'learning_rate': 0.07434437865632709, 'subsample_for_bin': 60000, 'min_child_samples': 275, 'reg_alpha': 0.44897959183673464, 'reg_lambda': 0.4081632653061224, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.5303030303030303}",455,99,2.5553854810000303
21,0.23925765547014655,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 64, 'learning_rate': 0.0600116605611819, 'subsample_for_bin': 240000, 'min_child_samples': 255, 'reg_alpha': 0.7959183673469387, 'reg_lambda': 0.8163265306122448, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.7070707070707071}",292,84,2.3185995549999916
22,0.23928459264515534,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 133, 'learning_rate': 0.02149894496984163, 'subsample_for_bin': 240000, 'min_child_samples': 480, 'reg_alpha': 0.5918367346938775, 'reg_lambda': 0.8979591836734693, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.9090909090909092}",328,63,2.1144178599998895
23,0.23929179724439187,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 148, 'learning_rate': 0.01996842791981582, 'subsample_for_bin': 180000, 'min_child_samples': 375, 'reg_alpha': 0.2857142857142857, 'reg_lambda': 0.061224489795918366, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.8434343434343434}",463,99,1.3926676879998467
24,0.23929315086634606,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 91, 'learning_rate': 0.014060340162908316, 'subsample_for_bin': 180000, 'min_child_samples': 150, 'reg_alpha': 0.3061224489795918, 'reg_lambda': 0.8979591836734693, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.9595959595959596}",99,80,1.4900854840000193
25,0.23930975877186833,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 136, 'learning_rate': 0.185077258978149, 'subsample_for_bin': 200000, 'min_child_samples': 395, 'reg_alpha': 0.12244897959183673, 'reg_lambda': 0.26530612244897955, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.6818181818181819}",351,17,2.440243776999978
26,0.23931193701409348,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 78, 'learning_rate': 0.030196332879124828, 'subsample_for_bin': 200000, 'min_child_samples': 220, 'reg_alpha': 0.5510204081632653, 'reg_lambda': 1.0, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.8383838383838385}",30,80,1.3124409490000062
27,0.23932862705925184,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 123, 'learning_rate': 0.022143509726932693, 'subsample_for_bin': 180000, 'min_child_samples': 485, 'reg_alpha': 0.5918367346938775, 'reg_lambda': 0.6530612244897959, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.8787878787878789}",217,40,1.2025919919999524
28,0.23934797781186956,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 43, 'learning_rate': 0.009263643527850038, 'subsample_for_bin': 100000, 'min_child_samples': 220, 'reg_alpha': 0.673469387755102, 'reg_lambda': 0.6938775510204082, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.8636363636363636}",348,100,2.3982728140000518
29,0.23935798412961318,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 31, 'learning_rate': 0.02614636513157514, 'subsample_for_bin': 40000, 'min_child_samples': 390, 'reg_alpha': 0.36734693877551017, 'reg_lambda': 0.5102040816326531, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.9242424242424243}",46,73,1.1263758290000396
30,0.23939609453784327,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 100, 'learning_rate': 0.07407036290619914, 'subsample_for_bin': 260000, 'min_child_samples': 285, 'reg_alpha': 0.4693877551020408, 'reg_lambda': 0.6326530612244897, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.7828282828282829}",63,45,1.4279490260000216
31,0.2394110275517083,"{'class_weight': 'balanced', 'boosting_type': 'goss', 'num_leaves': 114, 'learning_rate': 0.005668844818808548, 'subsample_for_bin': 280000, 'min_child_samples': 215, 'reg_alpha': 0.061224489795918366, 'reg_lambda': 0.7551020408163265, 'colsample_bytree': 0.6444444444444444, 'subsample': 1.0}",446,76,1.6603488119999383
32,0.23942024849678856,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 101, 'learning_rate': 0.18783119153687952, 'subsample_for_bin': 200000, 'min_child_samples': 260, 'reg_alpha': 0.673469387755102, 'reg_lambda': 0.18367346938775508, 'colsample_bytree': 1.0, 'subsample': 0.5858585858585859}",33,53,2.7586987850000355
33,0.239430782414515,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 97, 'learning_rate': 0.036996079612148326, 'subsample_for_bin': 120000, 'min_child_samples': 475, 'reg_alpha': 0.4081632653061224, 'reg_lambda': 0.7551020408163265, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.5454545454545454}",288,21,1.1827335460000086
34,0.2395310827596362,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 81, 'learning_rate': 0.07974762271777591, 'subsample_for_bin': 220000, 'min_child_samples': 290, 'reg_alpha': 0.42857142857142855, 'reg_lambda': 0.673469387755102, 'colsample_bytree': 1.0, 'subsample': 0.7171717171717171}",39,53,2.5723897480000346
35,0.2395347198915061,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 54, 'learning_rate': 0.030085036356717453, 'subsample_for_bin': 220000, 'min_child_samples': 385, 'reg_alpha': 0.2857142857142857, 'reg_lambda': 0.5918367346938775, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.6363636363636364}",327,52,1.3125619820000338
36,0.23953925901750228,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 37, 'learning_rate': 0.10755101209788154, 'subsample_for_bin': 280000, 'min_child_samples': 290, 'reg_alpha': 0.3469387755102041, 'reg_lambda': 1.0, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.8484848484848485}",264,55,2.45734797099999
37,0.2395720579628855,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 57, 'learning_rate': 0.11451879873398406, 'subsample_for_bin': 200000, 'min_child_samples': 270, 'reg_alpha': 0.6326530612244897, 'reg_lambda': 0.6938775510204082, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.994949494949495}",421,22,2.6448662010000135
38,0.2396964999319895,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 78, 'learning_rate': 0.021899563889224465, 'subsample_for_bin': 20000, 'min_child_samples': 475, 'reg_alpha': 0.1020408163265306, 'reg_lambda': 0.7142857142857142, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.6565656565656566}",259,35,1.2513334679999844
39,0.2397777295842074,"{'class_weight': None, 'boosting_type': 'goss', 'num_leaves': 106, 'learning_rate': 0.009683353769868812, 'subsample_for_bin': 180000, 'min_child_samples': 480, 'reg_alpha': 0.8571428571428571, 'reg_lambda': 0.7959183673469387, 'colsample_bytree': 0.6888888888888889, 'subsample': 1.0}",152,93,1.3362673259999838
40,0.23978752901099054,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 103, 'learning_rate': 0.07244734769700005, 'subsample_for_bin': 80000, 'min_child_samples': 355, 'reg_alpha': 0.5510204081632653, 'reg_lambda': 0.02040816326530612, 'colsample_bytree': 0.6, 'subsample': 0.5757575757575758}",134,26,2.234908221000069
41,0.23982539047725215,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 83, 'learning_rate': 0.11494244934547872, 'subsample_for_bin': 160000, 'min_child_samples': 350, 'reg_alpha': 0.32653061224489793, 'reg_lambda': 0.061224489795918366, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.6565656565656566}",104,25,1.1756314650000377
42,0.23983352398325997,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 134, 'learning_rate': 0.029534676778061552, 'subsample_for_bin': 280000, 'min_child_samples': 220, 'reg_alpha': 0.3469387755102041, 'reg_lambda': 0.9183673469387754, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.6212121212121212}",436,99,2.6031508859998667
