loss,params,iteration,estimators,train_time
0.23916105000694687,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8464791720356762, 'learning_rate': 0.10875645732896141, 'min_child_samples': 380, 'num_leaves': 112, 'reg_alpha': 0.002436386070584051, 'reg_lambda': 0.09460288039448272, 'subsample_for_bin': 180000, 'subsample': 0.7153773885862027}",19,26,89.4746643049998
0.24615957140939615,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6048404419661536, 'learning_rate': 0.06644368221542607, 'min_child_samples': 85, 'num_leaves': 66, 'reg_alpha': 0.776616518870496, 'reg_lambda': 0.5854944753883532, 'subsample_for_bin': 300000, 'subsample': 1.0}",20,12,11.835500178000075
0.24912973335960298,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9773986913590285, 'learning_rate': 0.19802256882096753, 'min_child_samples': 320, 'num_leaves': 90, 'reg_alpha': 0.05508536902989189, 'reg_lambda': 0.878442626206101, 'subsample_for_bin': 80000, 'subsample': 0.9860458540996664}",21,8,14.543479327000114
0.24871967603679013,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6714456874846507, 'learning_rate': 0.1284813716815191, 'min_child_samples': 315, 'num_leaves': 82, 'reg_alpha': 0.0708678790296157, 'reg_lambda': 0.856809841017921, 'subsample_for_bin': 20000, 'subsample': 0.9880005206707034}",22,24,12.12782751099985
0.2392964357509373,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6754796439780206, 'learning_rate': 0.010395111872277856, 'min_child_samples': 490, 'num_leaves': 92, 'reg_alpha': 0.0057102465414531275, 'reg_lambda': 0.8676835101650509, 'subsample_for_bin': 100000, 'subsample': 0.8504521964088037}",23,116,10.733493360000011
0.24071803287962723,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6450488834663934, 'learning_rate': 0.013825391023932636, 'min_child_samples': 320, 'num_leaves': 147, 'reg_alpha': 0.10064767155541222, 'reg_lambda': 0.6825009103288038, 'subsample_for_bin': 140000, 'subsample': 0.5278964953321146}",24,447,87.83109861500043
0.23874245576878717,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7170034421060119, 'learning_rate': 0.025887936065543102, 'min_child_samples': 360, 'num_leaves': 149, 'reg_alpha': 0.2436022782344304, 'reg_lambda': 0.9406136393516294, 'subsample_for_bin': 20000, 'subsample': 0.8777897368942661}",25,131,12.063219460000255
0.24245259996337631,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7025783014920511, 'learning_rate': 0.16556609781240156, 'min_child_samples': 270, 'num_leaves': 81, 'reg_alpha': 0.5948175235988165, 'reg_lambda': 0.7800092399563677, 'subsample_for_bin': 60000, 'subsample': 0.6900857792768346}",26,21,106.97285813999997
0.23647986636974538,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6263606579940085, 'learning_rate': 0.029705613635318394, 'min_child_samples': 280, 'num_leaves': 100, 'reg_alpha': 0.11227198252852989, 'reg_lambda': 0.8215325666673834, 'subsample_for_bin': 100000, 'subsample': 0.6484831265868249}",27,86,12.25363244600021
0.2376796430284307,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6343601449779234, 'learning_rate': 0.026568172307769318, 'min_child_samples': 280, 'num_leaves': 31, 'reg_alpha': 0.11273498335259688, 'reg_lambda': 0.9983436936576593, 'subsample_for_bin': 80000, 'subsample': 0.6380337959561461}",28,96,12.514947126000152
0.24615234788720597,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9608709274596119, 'learning_rate': 0.026367570337959417, 'min_child_samples': 195, 'num_leaves': 52, 'reg_alpha': 0.2492087252815519, 'reg_lambda': 0.32454843055953025, 'subsample_for_bin': 40000, 'subsample': 0.6603215741495445}",29,70,16.814572468999813
0.238716495298529,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7611874524736044, 'learning_rate': 0.014988077865732707, 'min_child_samples': 285, 'num_leaves': 81, 'reg_alpha': 0.5510295703892336, 'reg_lambda': 0.7918188897694398, 'subsample_for_bin': 80000, 'subsample': 0.8778780596652654}",30,174,13.150498822999907
0.2394300618004045,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6413148778852593, 'learning_rate': 0.023678100980341562, 'min_child_samples': 365, 'num_leaves': 100, 'reg_alpha': 0.42501633468096617, 'reg_lambda': 0.6413950361426906, 'subsample_for_bin': 60000, 'subsample': 0.7742067222355172}",31,112,11.402358490000097
